account_name,CITY,Country
ACCESS MEDICAL LABORATORIES,JUPITER,United States
ACM MEDICAL LABORATORY INC,ROCHESTER,United States
ADVANCED INTERNAL MEDICINE,EAST HILLS,United States
ALLIANCE COMMUNITY HOSPITAL (PHYS),ALLIANCE,United States
AMERICAN BIOCLINICAL LAB,LOS ANGELES,United States
ARKANSAS CHILDRENS HOSP (RCVG),LITTLE ROCK,United States
ARKANSAS VALLEY REGIONAL,LA JUNTA,United States
ASCEND CLINICAL LLC,REDWOOD CITY,United States
ATLANTIC DIAGNOSTIC LAB @ ALL MED,BRONX,United States
ATLANTIC DIAGNOSTIC LABORATORIES,BENSALEM,United States
ATLANTIC DIAGNOSTIC LABORATORIES,MERCER,United States
AUGUSTA MEDICAL CENTER LAB,FISHERSVILLE,United States
AULTMAN HOSPITAL,CANTON,United States
BABSON DIAGNOSTICS INC,AUSTIN,United States
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,United States
BASS MEDICAL GROUP,WALNUT CREEK,United States
BAYLOR ST LUKES MEDICAL CTR MCNAIR,HOUSTON,United States
BEATRICE COMM HOSP & HLTH CTR,BEATRICE,United States
BELLIN HEALTH GEN STORES (R),GREEN BAY,United States
BILLINGS CLINIC,BILLINGS,United States
BIOCONFIRM LABORATORIES LLC,DORAVILLE,United States
BLUEWATER TOXICOLOGY LLC,MOUNT WASHINGTON,United States
BRIDGEPOINT NATIONAL HARBOR,WASHINGTON,United States
BRIGHTVIEW MEDICAL LAB,ALPHARETTA,United States
BROCKTON HOSPITAL,BROCKTON,United States
BROUGHTON HOSPITAL,MORGANTON,United States
CALDWELL MEMORIAL HOSPITAL,LENOIR,United States
CANDLER HOSPITAL,SAVANNAH,United States
CAROLINAEAST MEDICAL CENTER,NEW BERN,United States
CENTRAL CLINICAL LABS,PHOENIX,United States
CHI HEALTH BERGAN MERCY,OMAHA,United States
CHILDRENS HOSPITAL MEDICAL CTR,CINCINNATI,United States
CHILDRENS MEDICAL CENTER,PLANO,United States
CHILDRENS MEDICAL CTR DALLAS,DALLAS,United States
CHRISTUS HIGHLAND MEDICAL CENTER,SHREVEPORT,United States
CHRISTUS ST FRANCIS CABRINI,ALEXANDRIA,United States
CITRUS VALLEY MEDICAL CENTER,COVINA,United States
CLINICAL REFERENCE LAB (P),LENEXA,United States
COASTAL CAROLINA HEALTH CARE,NEW BERN,United States
COLISEUM MEDICAL CENTER,MACON,United States
COLONIAL FAMILY PRACTICE,SUMTER,United States
COMMUNITY MEDICAL CENTER,MISSOULA,United States
COMPASS MEDICAL PC,EAST BRIDGEWATER,United States
COOKEVILLE REGIONAL MEDICAL CTR,COOKEVILLE,United States
COVENANT MED CTR DISTRIBUTION CTR,CEDAR FALLS,United States
COVENANT MEDICAL CENTER,WATERLOO,United States
DECATUR COUNTY GENERAL HOSP,PARSONS,United States
DEL SOL MEDICAL CENTER,EL PASO,United States
DENVER HEALTH MED CTR (RCVG),DENVER,United States
DOCTORS HOSPITAL OF LAREDO,LAREDO,United States
DOMINION DIAGNOSTICS,NORTH KINGSTOWN,United States
DRISCOLL CHILDRENS HOSP,CORPUS CHRISTI,United States
DUNES MEDICAL LABORATORIES,DAKOTA DUNES,United States
EL RIO COMMUNITY HEALTH CENTER,TUCSON,United States
ELLIOT HOSPITAL,MANCHESTER,United States
EMANATE HEALTH INTER-COMMUNITY,COVINA,United States
EMERSON HOSPITAL,CONCORD,United States
FAITH REGIONAL HEALTH SERVICE,NORFOLK,United States
FIRST CHOICE LABORATORY,FORT LAUDERDALE,United States
FOUNDATION LABORATORY,POMONA,United States
FUJIREBIO DIAGNOSTICS INC,MALVERN,United States
GLASGOW TRAINING SITE,CARY,United States
GOOD SAMARITAN HOSPITAL,VINCENNES,United States
GREAT RIVER MEDICAL CENTER,WEST BURLINGTON,United States
GREENWICH HOSPITAL,GREENWICH,United States
HEALTHCARE PROVIDERS LAB,BALDWIN PARK,United States
HENDERSONVILLE MEDICAL CENTER,HENDERSONVILLE,United States
HENRY SCHEIN-CROSSROADS MED LAB,ELLICOTT CITY,United States
HOLLYWOOD PRESBYTERIAN MED CTR (R),LOS ANGELES,United States
HOLY CROSS HOSPITAL,SILVER SPRING,United States
HOSPITAL AUXILIO MUTUO,HATO REY,United States
HOSPITAL EPISCOPAL SAN LUCAS,PONCE,United States
HOSPITAL LA CONCEPCION (R),SAN GERMAN,United States
HUNTINGTON INTERNAL MED GRP (P),HUNTINGTON,United States
JOHNSTON MEDICAL CENTER CLAYTON,CLAYTON,United States
JOHNSTON MEMORIAL HOSPITAL,SMITHFIELD,United States
KADLEC REGIONAL MEDICAL CENTER,RICHLAND,United States
KAISER PERMANENTE,RICHMOND,United States
KAISER REGIONAL LAB,BERKELEY,United States
LAB CLINICO MALDONADO AVILES,PUEBLO HATILLO,United States
LABORATORY CLINICO IRIZARRY GUASCH,MAYAGUEZ,United States
LANE REGIONAL MEDICAL CENTER,ZACHARY,United States
LAREDO MEDICAL CENTER,LAREDO,United States
LENCO DIAGNOSTIC LABORATORY,BROOKLYN,United States
LITTLE COMPANY OF MARY HOSP &,EVERGREEN PARK,United States
LONE PEAK HOSPITAL,DRAPER,United States
MAINE GENERAL MEDICAL CENTER,AUGUSTA,United States
MANATEE MEMORIAL HOSPITAL,BRADENTON,United States
MANKATO CLINIC,MANKATO,United States
MARGARET R PARDEE MEM HOSPITAL,HENDERSONVILLE,United States
MED-LAKE LABORATORY LLC,MILLEDGEVILLE,United States
MEDSTAR GEORGETOWN UNIV,GEORGETOWN,United States
MEMORIAL HOSP OF SHERIDAN CTY,SHERIDAN,United States
MEMORIAL SATILLA HEALTH,WAYCROSS,United States
MERCK SHARP & DOHME  (WP81-3226),WEST POINT,United States
MERCK SHARP & DOHME (WP81-3226),WEST POINT,United States
MERCY MED CENTER DES MOINES,DES MOINES,United States
MERCY MEDICAL CENTER,CANTON,United States
MERCY MEDICAL CTR-SIOUX CITY,SIOUX CITY,United States
METRO HEALTH HOSPITAL,WYOMING,United States
METROPOLITAN HOSPITAL,SAN ANTONIO,United States
MID AMERICA CLINICAL LABS LLC,INDIANAPOLIS,United States
MIKE O'CALLAGHAN FEDERAL HOSP (P),NELLIS AIR FORCE BASE,United States
MILLARD HENRY CLINIC,RUSSELLVILLE,United States
MINNEAPOLIS MED RSCH FOUND,MINNEAPOLIS,United States
MN ONCOLOGY HEMATOLOGY PA,SAINT PAUL,United States
MOBILITY RESOURCES,MADISON HEIGHTS,United States
MOSAIC LIFE CARE ST JOSEPH,SAINT JOSEPH,United States
MOUNTAIN VIEW HOSPITAL,PAYSON,United States
MOUNTAINVIEW REGIONAL MED CTR,LAS CRUCES,United States
NASSAU UNIVERSITY MEDICAL CENTER,EAST MEADOW,United States
NEW HANOVER MEDICAL GROUP (P),WILMINGTON,United States
NEW HANOVER REGIONAL MED CTR,WILMINGTON,United States
NICL LABORATORIES,NORTHBROOK,United States
NOR LEA GENERAL HOSPITAL,LOVINGTON,United States
NORTHSHORE MEDICAL LAB,WILLISTON PARK,United States
NORTHWEST COMMUNITY HOSPITAL,ARLINGTON HEIGHTS,United States
NORTHWEST MEDICAL CENTER,TUCSON,United States
OCEAN SPRINGS HOSPITAL,OCEAN SPRINGS,United States
OMEGA DIAGNOSTICS LLC TOURO,NEW ORLEANS,United States
OPELOUSAS GENERAL HLTH SYS (MAIN),OPELOUSAS,United States
ORANGE COAST HEALTHTECH LAB,FOUNTAIN VALLEY,United States
ORION LABORATORIES LLC,BATON ROUGE,United States
OSWEGO HOSPITAL,OSWEGO,United States
PARKVIEW MEDICAL CENTER,PUEBLO,United States
PHOENIX CENT LAB FOR VETERINARIANS,MUKILTEO,United States
PHOENIX CHILDRENS HOSP (RCVNG),PHOENIX,United States
PHYSICIANS EAST,GREENVILLE,United States
PHYSICIANS LABORATORY SERVICES,OMAHA,United States
PHYSICIANS LABORATORY SERVICES INC,LINCOLN,United States
PINEHURST MEDICAL CLINIC INC,PINEHURST,United States
PLATTE VALLEY MEDICAL CENTER,BRIGHTON,United States
PRIMEX CLINICAL LABORATORIES,VAN NUYS,United States
PRINCESS MARGARET HOSPITAL,NASSAU,United States
PROVIDENCE GENERAL MED CTR,EVERETT,United States
PROVIDENCE HEALTH SYSTEM,PORTLAND,United States
PROVIDENCE PORTLAND HOSPITAL,PORTLAND,United States
PROVIDENCE ST MARY MEDICAL CENTER,WALLA WALLA,United States
PROVIDENCE ST PETER HOSPITAL,OLYMPIA,United States
PROVIDENCE ST VINCENT MED CTR,PORTLAND,United States
QUALITY LABORATORY SERVICE RCVG,BROOKLYN,United States
QUEEN OF THE VALLEY HOSPITAL,WEST COVINA,United States
QUEST @ INSPIRA HEALTH MULLICA HILL,MULLICA HILL,United States
QUEST @ PEACEHEALTH SOUTHWEST MC,VANCOUVER,United States
QUEST @ PRESBYTERIAN ST LUKES MC,DENVER,United States
QUEST DIAGNOSTICS,MOBILE,United States
QUEST DIAGNOSTICS,WOOD DALE,United States
QUEST DIAGNOSTICS HOUSTON,HOUSTON,United States
QUEST DIAGNOSTICS INC,IRVING,United States
QUEST DIAGNOSTICS INC,LENEXA,United States
QUEST DIAGNOSTICS REF LAB,HOUSTON,United States
QUEST DIAGNOSTICS REF LAB,IRVING,United States
QUEST DIAGNOSTICS REF LAB,LENEXA,United States
QUEST DIAGNOSTICS REF LAB,WOOD DALE,United States
QUEST EMPLOYEE SOLUTIONS,LENEXA,United States
QUEST@JERSEY CITY MC LAB GENERAL,JERSEY CITY,United States
QUEST@MONMOUTH MC LAB GENERAL,LONG BRANCH,United States
QUEST@PEACEHEALTH SACRED HEART,SPRINGFIELD,United States
QUEST@PEACEHEALTH ST JOSEPH MEDICAL,BELLINGHAM,United States
REID HEALTH,RICHMOND,United States
RESEARCH & DEVELOPMENT INSTITUTE,VAN NUYS,United States
REX HOSPITAL,RALEIGH,United States
SACRED HEART MEDICAL CENTER (R),SPOKANE,United States
SALEM CLINIC PC,SALEM,United States
SELF REGIONAL HEALTHCARE,GREENWOOD,United States
SIEMENS HEALTHCARE DIAGNOSTICS,BERKELEY,United States
SIEMENS HEALTHCARE DIAGNOSTICS,NEWARK,United States
SIEMENS TDC GLASGOW,NEWARK,United States
SIEMENS TDC TARRYTOWN,TARRYTOWN,United States
SIEMENS TDC2 CARY,CARY,United States
SIERRA VIEW DISTRICT HOSPITAL,PORTERVILLE,United States
SINGING RIVER HOSPITAL,PASCAGOULA,United States
SOUTHERN NEW HAMPSHIRE MED CTR,NASHUA,United States
SPECTRA EAST,ROCKLEIGH,United States
ST ALPHONSUS REGIONAL MED CTR,BOISE,United States
ST BERNARD HOSPITAL,CHICAGO,United States
ST CROIX CLINICAL LABORATORIES INC,CHRISTIANSTED,United States
ST JOSEPH MEDICAL CENTER,HOUSTON,United States
ST LUKES HOSPITAL,DULUTH,United States
ST MARKS HOSPITAL,SALT LAKE CITY,United States
ST MARYS REGIONAL MEDICAL CTR,RUSSELLVILLE,United States
ST VINCENTS HOSPITAL SANTA FE,SANTA FE,United States
ST VINCENTS MEDICAL CENTER,BRIDGEPORT,United States
STONE CLINICAL LABORATORIES OF FL L,FREEPORT,United States
STORMONT VAIL HEALTH,TOPEKA,United States
STURDY MEMORIAL HOSPITAL,ATTLEBORO,United States
SUMMERLIN HOSPITAL MEDICAL CTR,LAS VEGAS,United States
SUTTER HEALTH SHARED LABORATORY,LIVERMORE,United States
SWEDISH COVENANT HOSPITAL,CHICAGO,United States
TEXOMA MEDICAL CENTER,DENISON,United States
THE VALLEY HOSPITAL (P),RIDGEWOOD,United States
TRICORE REFERENCE LABORATORIES,ALBUQUERQUE,United States
UHHS UNIV HOSPITAL CLEVELAND,CLEVELAND,United States
UNC HOSPITALS CENTRAL DISTRIBUTION,CHAPEL HILL,United States
UNITED MEMORIAL MEDICAL CENTER,BATAVIA,United States
UNIV OF MARYLAND CHEM RESEARCH,BALTIMORE,United States
UNIV OF MIAMI MILLER SCHOOL OF MED,MIAMI,United States
UNIVERSITY KS HEALTH SYS ST FRANCIS,TOPEKA,United States
UNIVERSITY MEDICAL CENTER,LAS VEGAS,United States
US DX CARY TRAINING CENTER,CARY,United States
USAF EGLIN AIR FORCE BASE,EGLIN AIR FORCE BASE,United States
VA CHEYENNE MEDICAL CTR,CHEYENNE,United States
VA OUTPATIENT CLINIC,COLUMBUS,United States
VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,United States
VALLEY VIEW HOSPITAL,GLENWOOD SPRINGS,United States
VIRGINIA ONCOLOGY ASSC,NEWPORT NEWS,United States
WASHINGTON HOSPITAL CENTER (PHYS),WASHINGTON,United States
WAYNE MEMORIAL HOSPITAL,GOLDSBORO,United States
WILMINGTON HEALTH ASSOCIATES,WILMINGTON,United States
WOOSTER COMMUNITY HOSPITAL,WOOSTER,United States
XERON CLINICAL LABORATORIES,FLUSHING,United States
